STRIP_ID; LED_ID - Long;Lat

0;0 - -180.00;-70.00
0;1 - -180.00;-62.22
0;2 - -180.00;-54.44
0;3 - -180.00;-46.67
0;4 - -180.00;-38.89
0;5 - -180.00;-31.11
0;6 - -180.00;-23.33
0;7 - -180.00;-15.56
0;8 - -180.00;-7.78
0;9 - -180.00;0.00
0;10 - -180.00;7.78
0;11 - -180.00;15.56
0;12 - -180.00;23.33
0;13 - -180.00;31.11
0;14 - -180.00;38.89
0;15 - -180.00;46.67
0;16 - -180.00;54.44
0;17 - -180.00;62.22
0;18 - -180.00;70.00
0;19 - 0.00;-70.00
0;20 - 0.00;-62.22
0;21 - 0.00;-54.44
0;22 - 0.00;-46.67
0;23 - 0.00;-38.89
0;24 - 0.00;-31.11
0;25 - 0.00;-23.33
0;26 - 0.00;-15.56
0;27 - 0.00;-7.78
0;28 - 0.00;0.00
0;29 - 0.00;7.78
0;30 - 0.00;15.56
0;31 - 0.00;23.33
0;32 - 0.00;31.11
0;33 - 0.00;38.89
0;34 - 0.00;46.67
0;35 - 0.00;54.44
0;36 - 0.00;62.22
0;37 - 0.00;70.00
1;0 - -162.00;-70.00
1;1 - -162.00;-62.22
1;2 - -162.00;-54.44
1;3 - -162.00;-46.67
1;4 - -162.00;-38.89
1;5 - -162.00;-31.11
1;6 - -162.00;-23.33
1;7 - -162.00;-15.56
1;8 - -162.00;-7.78
1;9 - -162.00;0.00
1;10 - -162.00;7.78
1;11 - -162.00;15.56
1;12 - -162.00;23.33
1;13 - -162.00;31.11
1;14 - -162.00;38.89
1;15 - -162.00;46.67
1;16 - -162.00;54.44
1;17 - -162.00;62.22
1;18 - -162.00;70.00
1;19 - 18.00;-70.00
1;20 - 18.00;-62.22
1;21 - 18.00;-54.44
1;22 - 18.00;-46.67
1;23 - 18.00;-38.89
1;24 - 18.00;-31.11
1;25 - 18.00;-23.33
1;26 - 18.00;-15.56
1;27 - 18.00;-7.78
1;28 - 18.00;0.00
1;29 - 18.00;7.78
1;30 - 18.00;15.56
1;31 - 18.00;23.33
1;32 - 18.00;31.11
1;33 - 18.00;38.89
1;34 - 18.00;46.67
1;35 - 18.00;54.44
1;36 - 18.00;62.22
1;37 - 18.00;70.00
2;0 - -144.00;-70.00
2;1 - -144.00;-62.22
2;2 - -144.00;-54.44
2;3 - -144.00;-46.67
2;4 - -144.00;-38.89
2;5 - -144.00;-31.11
2;6 - -144.00;-23.33
2;7 - -144.00;-15.56
2;8 - -144.00;-7.78
2;9 - -144.00;0.00
2;10 - -144.00;7.78
2;11 - -144.00;15.56
2;12 - -144.00;23.33
2;13 - -144.00;31.11
2;14 - -144.00;38.89
2;15 - -144.00;46.67
2;16 - -144.00;54.44
2;17 - -144.00;62.22
2;18 - -144.00;70.00
2;19 - 36.00;-70.00
2;20 - 36.00;-62.22
2;21 - 36.00;-54.44
2;22 - 36.00;-46.67
2;23 - 36.00;-38.89
2;24 - 36.00;-31.11
2;25 - 36.00;-23.33
2;26 - 36.00;-15.56
2;27 - 36.00;-7.78
2;28 - 36.00;0.00
2;29 - 36.00;7.78
2;30 - 36.00;15.56
2;31 - 36.00;23.33
2;32 - 36.00;31.11
2;33 - 36.00;38.89
2;34 - 36.00;46.67
2;35 - 36.00;54.44
2;36 - 36.00;62.22
2;37 - 36.00;70.00
3;0 - -126.00;-70.00
3;1 - -126.00;-62.22
3;2 - -126.00;-54.44
3;3 - -126.00;-46.67
3;4 - -126.00;-38.89
3;5 - -126.00;-31.11
3;6 - -126.00;-23.33
